# Created by:        SpecsLab Prodigy, Version 4.109.1-r116302 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       yes
#   Separate Channel Data:    no
#   External Channel Data:    no
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        no
#   Time Zone Format:         Local Time
#
# Group:                        UHV manip
#
# Region:                       Au4f
# Spectrum ID:                  22
# Acquisition Date:             02/01/24 18:37:30 UTC+1
# Analysis Method:              XPS
# Analyzer:                     Phoibos DLD
# Analyzer Lens:                AngleResolvedMode30:1.5kV
# Analyzer Slit:                3:1x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Scan Variable:                Binding Energy
# Curves/Scan:                  1
# Values/Curve:                 161
# Dwell Time:                   0.1
# Excitation Energy:            350
# Binding Energy:               90
# Pass Energy:                  50
# Bias Voltage:                 5
# Detector Voltage:             1915
# Eff. Workfunction:            4.37
# Source:                       Monochromator
# Comment:                      
# OrdinateRange:                [-22.000000, 22.000000]

# Cycle: 0
#
# Number of Scans: 1

# Cycle: 0, Curve: 0, Scan: 0
#
# Acquisition Date:             02/01/24 18:37:30 UTC+1
# ColumnLabels:                 energy counts/s
#
90  157421.25
89.95  156539.13
89.9  156341.39
89.85  157144.85
89.8  158673.59
89.75  158078.73
89.7  158908.63
89.65  159937.85
89.6  161787.53
89.55  163038.62
89.5  163111.88
89.45  165464.7
89.4  166575.67
89.35  169242.77
89.3  173648.53
89.25  173822.26
89.2  176908.09
89.15  181286.97
89.1  182823.91
89.05  183907.25
89  186149.96
88.95  192646.66
88.9  199063.7
88.85  199892.8
88.8  205428.38
88.75  209190.12
88.7  216832.69
88.65  222973.35
88.6  230750.7
88.55  239468.75
88.5  248007.97
88.45  259124.25
88.4  273663.77
88.35  287539.94
88.3  305987.9
88.25  325942.06
88.2  353433.56
88.15  388250.78
88.1  430213.26
88.05  480148.09
88  556495.82
87.95  651148.43
87.9  772523.71
87.85  924169.83
87.8  1090140.1
87.75  1240785.7
87.7  1339730.9
87.65  1368970.1
87.6  1333216.6
87.55  1250148.3
87.5  1143418
87.45  1032498
87.4  916517.71
87.35  798040.1
87.3  695763.11
87.25  594228.6
87.2  505029.62
87.15  437286.33
87.1  384530.91
87.05  340117.98
87  309241.46
86.95  283563.19
86.9  264232.03
86.85  248671.61
86.8  236013.2
86.75  223724.53
86.7  218997.97
86.65  212168.34
86.6  206098.76
86.55  198303.25
86.5  194148.32
86.45  189058.89
86.4  185521.17
86.35  182051.96
86.3  176551.17
86.25  173747.39
86.2  174365.43
86.15  167859.52
86.1  167276.27
86.05  165237.38
86  165178.28
85.95  166326.77
85.9  164807.26
85.85  165084.17
85.8  165652.17
85.75  164611.61
85.7  165332.44
85.65  169313.05
85.6  169963.3
85.55  172634.96
85.5  175052.35
85.45  175446.42
85.4  177504.37
85.35  180908.48
85.3  184855.27
85.25  189347.54
85.2  193212.25
85.15  198078.74
85.1  205289.63
85.05  213042.29
85  219892.05
84.95  229289.98
84.9  240926.5
84.85  250635.63
84.8  261006.82
84.75  278420.86
84.7  294620.96
84.65  313834.64
84.6  341205.29
84.55  368972.59
84.5  410351.51
84.45  461322.39
84.4  528132.4
84.35  609117.5
84.3  722980.62
84.25  877726.9
84.2  1073192
84.15  1309439.9
84.1  1548787.2
84.05  1745023.9
84  1848435.4
83.95  1841630.2
83.9  1743777.3
83.85  1602039.7
83.8  1429327.9
83.75  1265056.5
83.7  1101051.6
83.65  939925.53
83.6  782786.71
83.55  651062.24
83.5  531046.87
83.45  440799.99
83.4  374992.52
83.35  323333.12
83.3  283744.52
83.25  251835.14
83.2  224503.62
83.15  206491.4
83.1  191907.53
83.05  175165.52
83  163664.37
82.95  155852.46
82.9  144005.44
82.85  137046.88
82.8  129755.03
82.75  124405.47
82.7  117611.08
82.65  110559.3
82.6  106614.39
82.55  101637.18
82.5  97864.398
82.45  94270.861
82.4  92115.348
82.35  87105.444
82.3  86997.119
82.25  83511.232
82.2  81105.937
82.15  79451.324
82.1  76262.745
82.05  75058.153
82  70869.424

