# Created by:        SpecsLab Prodigy, Version 4.109.1-r116302 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       yes
#   Separate Channel Data:    no
#   External Channel Data:    no
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        no
#   Time Zone Format:         Local Time
#
# Group:                        Cell door open cooling
#
# Region:                       Na1s
# Spectrum ID:                  4
# Acquisition Date:             02/01/24 17:56:44 UTC+1
# Analysis Method:              XPS
# Analyzer:                     Phoibos DLD
# Analyzer Lens:                AngleResolvedMode30:1.5kV
# Analyzer Slit:                3:1x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Scan Variable:                Binding Energy
# Curves/Scan:                  1
# Values/Curve:                 241
# Dwell Time:                   0.1
# Excitation Energy:            1270
# Binding Energy:               1080
# Pass Energy:                  50
# Bias Voltage:                 5
# Detector Voltage:             1915
# Eff. Workfunction:            4.37
# Source:                       Monochromator (Dummy)
# Comment:                      
# OrdinateRange:                [-22.000000, 22.000000]

# Cycle: 0
#
# Number of Scans: 1

# Cycle: 0, Curve: 0, Scan: 0
#
# Acquisition Date:             02/01/24 17:47:46 UTC+1
# ColumnLabels:                 energy counts/s
#
1080  8310.5916
1079.95  8263.1378
1079.9  7694.596
1079.85  7936.502
1079.8  8674.3824
1079.75  8442.9222
1079.7  8071.0992
1079.65  8123.2559
1079.6  7786.9463
1079.55  8020.5709
1079.5  8115.2844
1079.45  8271.4503
1079.4  8108.5033
1079.35  8278.8912
1079.3  8556.1618
1079.25  8295.2361
1079.2  8770.1814
1079.15  8676.4091
1079.1  8261.8723
1079.05  8282.1488
1079  8440.9923
1078.95  8699.4764
1078.9  8423.1686
1078.85  8433.3099
1078.8  8407.5005
1078.75  8473.7141
1078.7  7852.1045
1078.65  8480.3248
1078.6  8287.1004
1078.55  7922.5734
1078.5  8546.5806
1078.45  8753.3865
1078.4  8403.2272
1078.35  8274.8385
1078.3  8468.2505
1078.25  8279.4637
1078.2  7586.0459
1078.15  8058.9022
1078.1  7820.5404
1078.05  8620.3063
1078  8387.0582
1077.95  8446.5701
1077.9  8275.8435
1077.85  8241.783
1077.8  7971.6278
1077.75  8370.4646
1077.7  8271.08
1077.65  8400.7813
1077.6  8163.0153
1077.55  8117.3617
1077.5  8195.17
1077.45  7739.2244
1077.4  8585.4664
1077.35  8672.6778
1077.3  8329.7168
1077.25  7732.0476
1077.2  7965.4464
1077.15  8030.1554
1077.1  8075.5511
1077.05  8315.3774
1077  7787.4804
1076.95  7605.4775
1076.9  8249.8297
1076.85  8195.4197
1076.8  8119.2015
1076.75  8384.2386
1076.7  7883.3722
1076.65  7740.4475
1076.6  7874.1928
1076.55  7815.9971
1076.5  8334.2358
1076.45  8654.365
1076.4  7900.7198
1076.35  8050.3938
1076.3  8026.1462
1076.25  8234.8964
1076.2  8072.7171
1076.15  7798.4202
1076.1  8388.3749
1076.05  8517.4232
1076  8289.5427
1075.95  8275.3803
1075.9  8542.6128
1075.85  8205.0155
1075.8  7997.3091
1075.75  8049.5968
1075.7  8247.8436
1075.65  8007.4408
1075.6  7772.3819
1075.55  8215.8096
1075.5  8040.4444
1075.45  8187.0089
1075.4  8466.2593
1075.35  7827.8383
1075.3  7962.7135
1075.25  7890.0435
1075.2  8242.4808
1075.15  8310.6982
1075.1  8088.0487
1075.05  7871.3119
1075  8437.626
1074.95  8138.2934
1074.9  8093.3805
1074.85  7672.8959
1074.8  7574.7256
1074.75  8158.3945
1074.7  8224.5971
1074.65  8201.7898
1074.6  8805.6106
1074.55  8250.1178
1074.5  8223.9652
1074.45  8112.003
1074.4  8473.8914
1074.35  8384.8767
1074.3  8464.749
1074.25  8660.349
1074.2  8108.7121
1074.15  8749.8204
1074.1  8335.1691
1074.05  8095.892
1074  8130.1111
1073.95  8431.6971
1073.9  8256.982
1073.85  8439.4764
1073.8  8604.8778
1073.75  8587.8439
1073.7  8614.1478
1073.65  8444.2438
1073.6  8422.6871
1073.55  8272.2109
1073.5  8142.9678
1073.45  8995.2348
1073.4  8703.4831
1073.35  8473.334
1073.3  8678.1343
1073.25  8406.9326
1073.2  8296.4248
1073.15  8953.6365
1073.1  8741.1772
1073.05  8531.2938
1073  8815.7549
1072.95  8693.3186
1072.9  8858.2185
1072.85  8198.6867
1072.8  8534.4326
1072.75  8599.9595
1072.7  8921.8
1072.65  8533.7216
1072.6  8713.6269
1072.55  8313.6467
1072.5  8402.2985
1072.45  8315.111
1072.4  8624.1581
1072.35  8687.1026
1072.3  8710.5262
1072.25  8624.3762
1072.2  8805.5305
1072.15  8792.8243
1072.1  8267.4149
1072.05  8865.6825
1072  9096.0849
1071.95  8377.751
1071.9  8063.8792
1071.85  8228.7473
1071.8  8050.2346
1071.75  8535.8823
1071.7  8353.0069
1071.65  7981.1795
1071.6  8284.8094
1071.55  8692.8743
1071.5  8393.1171
1071.45  7947.5275
1071.4  7669.2842
1071.35  7664.3062
1071.3  8169.0797
1071.25  8048.1777
1071.2  8550.5887
1071.15  8685.4921
1071.1  8190.4424
1071.05  8319.7483
1071  9011.1599
1070.95  8658.3369
1070.9  8526.4509
1070.85  8105.717
1070.8  8148.5339
1070.75  7795.9983
1070.7  7887.9328
1070.65  8197.3172
1070.6  8323.8658
1070.55  7869.8675
1070.5  8210.0593
1070.45  8207.7993
1070.4  7907.6047
1070.35  7991.9719
1070.3  8082.1033
1070.25  8307.9425
1070.2  8090.1502
1070.15  8407.9238
1070.1  8614.6078
1070.05  8258.0645
1070  8165.2217
1069.95  8037.905
1069.9  7901.2601
1069.85  8277.8602
1069.8  8205.1224
1069.75  7871.1314
1069.7  8506.8238
1069.65  8489.9929
1069.6  8635.7772
1069.55  8178.2449
1069.5  8208.8312
1069.45  8204.9366
1069.4  8228.7967
1069.35  7968.6756
1069.3  8180.8706
1069.25  8587.1223
1069.2  8490.2394
1069.15  8156.4809
1069.1  8298.1155
1069.05  8196.8904
1069  8602.9609
1068.95  8393.8101
1068.9  7934.0846
1068.85  8017.1958
1068.8  7929.6121
1068.75  8583.9848
1068.7  8436.8434
1068.65  8621.9663
1068.6  7965.9246
1068.55  8067.2862
1068.5  7927.8362
1068.45  8114.0582
1068.4  8451.3734
1068.35  8050.9508
1068.3  7952.0001
1068.25  8343.3917
1068.2  7851.0933
1068.15  8253.7269
1068.1  7984.6744
1068.05  8281.4465
1068  8395.1336

# Cycle: 0, Curve: 0, Scan: 1
#
# Acquisition Date:             02/01/24 17:48:25 UTC+1
# ColumnLabels:                 energy counts/s
#
1080  8516.1559
1079.95  7963.0991
1079.9  8742.5393
1079.85  8132.6932
1079.8  7624.7643
1079.75  8036.3611
1079.7  8366.2224
1079.65  8099.6791
1079.6  8275.9847
1079.55  8188.1454
1079.5  7978.7919
1079.45  7687.6959
1079.4  8094.0546
1079.35  8346.5418
1079.3  8145.7933
1079.25  8391.673
1079.2  8356.7153
1079.15  8135.6353
1079.1  8324.9143
1079.05  7999.2453
1079  8334.0725
1078.95  8330.3442
1078.9  8201.5276
1078.85  8308.56
1078.8  8450.608
1078.75  8197.0471
1078.7  8266.208
1078.65  8160.5112
1078.6  8098.9974
1078.55  8296.1038
1078.5  8578.536
1078.45  8572.6875
1078.4  8433.7768
1078.35  8577.2626
1078.3  8121.8595
1078.25  7919.3147
1078.2  8360.8557
1078.15  8622.2184
1078.1  8000.9966
1078.05  8221.7621
1078  8208.423
1077.95  8079.7656
1077.9  8159.2313
1077.85  8128.6687
1077.8  8130.0785
1077.75  8416.3616
1077.7  8410.4854
1077.65  8206.442
1077.6  7732.8968
1077.55  8114.6596
1077.5  8143.6076
1077.45  7778.3009
1077.4  8041.6166
1077.35  8266.2165
1077.3  8663.2383
1077.25  8567.5596
1077.2  8251.6194
1077.15  8289.6051
1077.1  8527.4284
1077.05  8919.911
1077  8573.8263
1076.95  7722.4296
1076.9  7945.3978
1076.85  8373.2143
1076.8  8480.7416
1076.75  7872.8439
1076.7  8238.2554
1076.65  7872.4582
1076.6  8484.8694
1076.55  8093.096
1076.5  7986.679
1076.45  8019.1601
1076.4  8564.2765
1076.35  8318.9191
1076.3  8302.8784
1076.25  8774.4372
1076.2  8504.778
1076.15  8104.8067
1076.1  8148.6156
1076.05  8462.3881
1076  8204.1788
1075.95  8251.8985
