# Created by:        SpecsLab Prodigy, Version 4.109.1-r116302 
#
# XY-Serializer Export Settings:
#   Comment Prefix:           #
#   Output Meta Data:         yes
#   Energy Axis:              Binding Energy
#   Count Rate:               Counts per Second
#   Separate Scan Data:       yes
#   Separate Channel Data:    no
#   External Channel Data:    no
#   Transmission Function:    no
#   Error Bar:                no
#   Operation Results:        no
#   Time Zone Format:         Local Time
#
# Group:                        UHV manip
#
# Region:                       S2p
# Spectrum ID:                  21
# Acquisition Date:             02/01/24 18:36:37 UTC+1
# Analysis Method:              XPS
# Analyzer:                     Phoibos DLD
# Analyzer Lens:                AngleResolvedMode30:1.5kV
# Analyzer Slit:                3:1x20\B:open
# Scan Mode:                    FixedAnalyzerTransmission
# Scan Variable:                Binding Energy
# Curves/Scan:                  1
# Values/Curve:                 361
# Dwell Time:                   0.1
# Excitation Energy:            350
# Binding Energy:               175
# Pass Energy:                  50
# Bias Voltage:                 5
# Detector Voltage:             1915
# Eff. Workfunction:            4.37
# Source:                       Monochromator
# Comment:                      
# OrdinateRange:                [-22.000000, 22.000000]

# Cycle: 0
#
# Number of Scans: 1

# Cycle: 0, Curve: 0, Scan: 0
#
# Acquisition Date:             02/01/24 18:35:44 UTC+1
# ColumnLabels:                 energy counts/s
#
175  1068867.1
174.95  1067620.3
174.9  1068399.4
174.85  1063503.7
174.8  1070108.6
174.75  1071181.2
174.7  1065853.2
174.65  1063082.4
174.6  1061683.9
174.55  1065848.8
174.5  1066320.4
174.45  1066672.8
174.4  1065828
174.35  1074805.3
174.3  1068300.7
174.25  1069858.7
174.2  1071055.9
174.15  1066567
174.1  1068848.5
174.05  1074060.9
174  1075529.7
173.95  1075206
173.9  1072402.2
173.85  1072435.5
173.8  1070610.2
173.75  1071608.9
173.7  1077537.4
173.65  1073960.9
173.6  1075954.1
173.55  1073969.2
173.5  1069434.4
173.45  1079786.1
173.4  1074510.2
173.35  1077295.9
173.3  1073419
173.25  1075238.6
173.2  1075531.2
173.15  1075922.7
173.1  1077326.1
173.05  1080324.7
173  1081475.5
172.95  1078393.4
172.9  1077627.5
172.85  1079556.1
172.8  1084069.8
172.75  1079495.9
172.7  1076778.3
172.65  1079237.7
172.6  1082827.5
172.55  1087183.8
172.5  1083565.8
172.45  1086768.4
172.4  1082624.5
172.35  1085143.8
172.3  1086715.3
172.25  1090965.5
172.2  1092633.1
172.15  1091394.1
172.1  1088993.8
172.05  1090799.1
172  1090828.1
171.95  1091035.9
171.9  1093988.6
171.85  1098527.8
171.8  1100170.5
171.75  1095782.9
171.7  1096294.7
171.65  1098905.1
171.6  1097670.9
171.55  1100203.6
171.5  1103361
171.45  1095448.4
171.4  1098065.1
171.35  1104890.4
171.3  1107475.4
171.25  1112297.9
171.2  1107022.3
171.15  1109253.7
171.1  1113105.2
171.05  1119539
171  1118383
170.95  1119788.5
170.9  1122172.4
170.85  1118666.4
170.8  1120435.8
170.75  1123916
170.7  1129938.4
170.65  1121997.2
170.6  1129389.7
170.55  1132046.1
170.5  1135190.9
170.45  1133538.6
170.4  1132484.9
170.35  1136123.2
170.3  1133407.2
170.25  1132616.4
170.2  1138825
170.15  1139494.1
170.1  1139647
170.05  1138151
170  1134758.4
169.95  1141175.6
169.9  1140869.2
169.85  1141311
169.8  1144563.6
169.75  1141427
169.7  1143588.2
169.65  1137654.6
169.6  1145239.9
169.55  1145686.3
169.5  1142185.1
169.45  1148066.1
169.4  1150238.8
169.35  1146110.2
169.3  1148890.2
169.25  1151597.8
169.2  1150262.5
169.15  1149030
169.1  1151718.5
169.05  1155315.6
169  1153518.2
168.95  1150453.3
168.9  1152755.1
168.85  1147344.1
168.8  1150696.7
168.75  1147932.4
168.7  1150903.1
168.65  1152894.3
168.6  1154655.2
168.55  1152471.1
168.5  1149816.9
168.45  1147214.8
168.4  1147261.6
168.35  1147507.6
168.3  1146379
168.25  1145980.3
168.2  1142213
168.15  1144871
168.1  1146023.6
168.05  1137170.1
168  1139651.2
167.95  1136125.8
167.9  1136760.4
167.85  1136387.5
167.8  1137508.8
167.75  1132021.9
167.7  1134641.6
167.65  1140046.4
167.6  1138716.6
167.55  1137650.7
167.5  1137757.2
167.45  1136062.3
167.4  1138177.1
167.35  1134174.9
167.3  1136530
167.25  1139543.7
167.2  1135965.3
167.15  1136198.6
167.1  1136427.8
167.05  1143272.9
167  1141875.3
166.95  1143449.2
166.9  1142035.5
166.85  1139814.8
166.8  1142713.3
166.75  1143323
166.7  1142855.7
166.65  1149318.6
166.6  1147695.4
166.55  1149180.8
166.5  1143902.3
166.45  1150297.1
166.4  1146008.6
166.35  1149154.6
166.3  1146066.5
166.25  1151405.9
166.2  1156439.1
166.15  1148622.7
166.1  1153830.8
166.05  1158411.6
166  1157342.7
165.95  1156423.8
165.9  1157426.7
165.85  1157739.3
165.8  1159990.9
165.75  1167528.5
165.7  1171019
165.65  1168367.8
165.6  1170980.3
165.55  1178124.4
165.5  1183310.1
165.45  1185504.6
165.4  1186871
165.35  1195043.1
165.3  1198867.9
165.25  1200499.7
165.2  1198947.3
165.15  1206820.7
165.1  1215904.6
165.05  1218387.8
165  1220195.2
164.95  1222431
164.9  1225030.3
164.85  1233797.2
164.8  1232955.4
164.75  1240480.8
164.7  1245825.3
164.65  1248779.7
164.6  1247432
164.55  1244508.5
164.5  1247876.8
164.45  1250431.3
164.4  1251321.9
164.35  1254198
164.3  1258814.6
164.25  1268853.4
164.2  1266620.8
164.15  1273934.7
164.1  1278095.3
164.05  1282911.8
164  1292897.2
163.95  1298862.9
163.9  1303910.9
163.85  1311494.4
163.8  1328711.1
163.75  1334204.4
163.7  1346551.1
163.65  1360804.2
163.6  1369064.2
163.55  1378519.9
163.5  1389371.4
163.45  1395561
163.4  1398001.4
163.35  1409446.4
163.3  1407989.1
163.25  1409478.1
163.2  1409709.2
163.15  1407944.4
163.1  1399293.9
163.05  1395819.5
163  1388340.8
162.95  1368382.2
162.9  1352293
162.85  1342666.3
162.8  1330819.8
162.75  1322639.9
162.7  1312378.7
162.65  1307134
162.6  1304295.9
162.55  1308240.2
162.5  1320586.1
162.45  1331276
162.4  1345443.3
162.35  1363965.1
162.3  1379594.9
162.25  1395810.1
162.2  1411831.9
162.15  1429462.4
162.1  1434449.8
162.05  1446696.7
162  1449855.2
161.95  1452589.7
161.9  1447255.6
161.85  1432725.9
161.8  1425692.9
161.75  1405700.2
161.7  1376051.3
161.65  1350086.7
161.6  1328874.7
161.55  1299085
161.5  1274697.3
161.45  1256959.9
161.4  1235637.3
161.35  1217740.9
161.3  1215163.9
161.25  1215098.2
161.2  1212779.7
161.15  1205082.7
161.1  1209769.9
161.05  1209199.1
161  1207522.8
160.95  1204277.3
160.9  1195852.8
160.85  1183116.1
160.8  1177379.5
160.75  1177641.3
160.7  1169033.8
160.65  1162873.4
160.6  1161752.6
160.55  1152082.1
160.5  1157141.4
160.45  1153101.7
